TaID,SiteID,GroupID,Sex,Birth_Year,Death_Year
Lauren,Old_North_End_Cemetery,4,F,1872,1890
Lauren,Old_North_End_Cemetery,4,M,1883,1896
Lauren,Old_North_End_Cemetery,4,F,1806,1881
Lauren,Old_North_End_Cemetery,4,M,1843,1876
Lauren,Old_North_End_Cemetery,4,M,1852,1892
Lauren,Old_North_End_Cemetery,4,M,1848,1883
Lauren,Old_North_End_Cemetery,4,F,1905,1937
Lauren,Old_North_End_Cemetery,4,M,1908,1936
Lauren,Old_North_End_Cemetery,4,F,1918,1936
Lauren,Old_North_End_Cemetery,4,M,1912,1936
Lauren,Old_North_End_Cemetery,4,F,1918,1968
Lauren,Old_North_End_Cemetery,4,F,1936,1981
Lauren,Old_North_End_Cemetery,4,M,1941,1998
Lauren,Old_North_End_Cemetery,4,M,1907,1971
Lauren,Old_North_End_Cemetery,4,F,1932,1980
Lauren,Old_North_End_Cemetery,4,M,1904,1940
Lauren,Old_North_End_Cemetery,4,F,1915,1984
Lauren,Old_North_End_Cemetery,4,M,1918,1954
Lauren,Old_North_End_Cemetery,4,F,1917,1966
Lauren,Old_North_End_Cemetery,4,M,1921,1966
Lauren,Old_North_End_Cemetery,4,F,1916,1962
Lauren,Old_North_End_Cemetery,4,F,1946,1991
Lauren,Old_North_End_Cemetery,4,M,1903,1947
Lauren,Old_North_End_Cemetery,4,F,1903,1938
Lauren,Old_North_End_Cemetery,4,F,1907,1956
Lauren,Old_North_End_Cemetery,4,F,1902,1942
Lauren,Old_North_End_Cemetery,4,M,1929,1935
Lauren,Old_North_End_Cemetery,4,F,1925,1941
Lauren,Old_North_End_Cemetery,4,M,1912,1961
Lauren,Old_North_End_Cemetery,4,F,1906,1919
Lauren,Old_North_End_Cemetery,4,F,1918,1993
Lauren,Old_North_End_Cemetery,5,F,1817,1886
Lauren,Old_North_End_Cemetery,5,M,1845,1882
Lauren,Old_North_End_Cemetery,5,M,1856,1886
Lauren,Old_North_End_Cemetery,5,M,1812,1897
